Date,SB1 (Wide Buffer),Swap30 (Force Swap),Hybrid (Super Rookie),S&P 500
2022-03-11,152347.57456928253,117539.83896044028,141027.38661147596,115357.57685725596
2022-03-14,146551.45282234193,115034.3160659815,136131.7930084944,114514.5294226257
2022-03-15,147602.54064430238,116596.3634917475,137023.3379036665,117032.72996221858
2022-03-16,144238.19471229555,115812.08756006492,134490.06972663404,119627.82408265489
2022-03-17,149819.06022132875,117899.75926849616,139198.8517395735,121124.49796350289
2022-03-18,150743.89856590272,118374.84653385413,139997.52139823438,122451.16252037293
2022-03-21,157645.68643058778,121249.11981113684,145946.00589149,122415.35149908373
2022-03-22,156419.39299263002,120858.57576439154,144631.92021720408,123847.7746311961
2022-03-23,159746.17964424135,121735.51780769599,147532.63388221266,122252.80206623038
2022-03-24,161359.8021952057,123438.30431625617,149170.97411124708,124095.68754502958
2022-03-25,165147.11047233583,125265.38855789436,152789.90355079173,124701.72839121158
2022-03-28,161186.80797065736,123915.51342486155,149551.50711219313,125588.72893732523
2022-03-29,158608.17377269745,123001.93409455073,147342.01500249386,127142.35315089145
2022-03-30,160175.22702968598,123199.66161833538,148479.09802175045,126357.29263717605
2022-03-31,160303.6571215439,122829.08258162273,148837.66192937375,124412.48484543494
2022-04-01,160915.18062770844,123094.51107321514,149399.57934117795,124765.10202685773
2022-04-04,161476.75205791474,122892.46802244915,149957.44763494015,125833.90419515216
2022-04-05,160875.3002528,122181.92663052333,149734.9931786108,124244.44238111218
2022-04-06,162935.03356731415,122651.20676178706,151939.9048912573,123002.0692781129
2022-04-07,166276.1784571457,124210.62927574886,154551.5448067236,123621.89586133746
2022-04-08,169685.64772594452,125703.77681870235,157696.8406860876,123291.33054334587
2022-04-11,167350.66397655488,124327.92606301082,155387.25874257565,121183.99103820777
2022-04-12,170163.7235125351,125285.86545094264,157861.6130135107,120734.99773368152
2022-04-13,170748.43035305024,126148.28796299708,158219.7367851782,122117.82410746212
2022-04-14,170576.3033198166,126142.84978588832,158245.72878194333,120597.24667999406
2022-04-18,172446.73762310029,126952.10962971461,159838.68128896237,120646.83457859766
2022-04-19,170936.3482416916,126793.66653959526,158488.17848897458,122594.38888607346
2022-04-20,170586.73854244233,127391.18321172966,158091.10682225705,122503.48807498308
2022-04-21,162093.09340847016,124219.2407755114,150678.59328771115,120671.62409803538
2022-04-22,157353.6850031662,119913.44475776923,146426.78872991086,117360.50446583459
2022-04-25,154337.61755168915,119016.29918071997,143580.2751228857,118040.91387032974
2022-04-26,153965.5009936142,117496.94330761206,143160.93217015744,114622.32573534858
2022-04-27,155986.38387477875,118325.91416839373,144288.79851842404,114944.62492695154
2022-04-28,158614.58812511445,119779.00847850574,146478.02148747921,117848.07302684108
2022-04-29,154560.58878887177,116421.08008678211,142371.04037023068,113492.9230263272
2022-05-02,153880.84509456635,116079.87683780445,141674.7616074133,114176.07894655706
2022-05-03,160202.01585948945,118956.10471948398,146999.83056133747,114699.47624830912
2022-05-04,163706.45363796235,121891.48009069217,149828.23291271686,118192.3975026907
2022-05-05,160707.66637218476,119121.7182746674,146757.64546078205,113991.5219489134
2022-05-06,162074.32753170014,119255.4504248215,147980.21829861164,113311.10368469007
2022-05-09,150423.75338924408,113564.04746732485,136808.51096218586,109683.19561181207
2022-05-10,151946.61675441742,114441.41234407198,138218.73428982258,109936.6192765713
2022-05-11,154176.92730892182,114301.63009271395,140428.76085918906,108190.17193897278
2022-05-12,153052.63110149384,114109.49121293795,139596.397200284,108077.20154499482
2022-05-13,158653.24949443818,116585.97817937625,144701.45668667316,110661.11468847246
2022-05-16,161707.71105373383,117819.92501120342,147628.92687099933,110212.08594503353
2022-05-17,164570.84288967133,119838.49371008648,150225.55223721027,112479.20178810577
2022-05-18,158269.1283739853,116200.54262203944,144584.18678539753,107944.97896168947
2022-05-19,157130.789655571,115392.52843327296,143890.91958111286,107283.86604516265
2022-05-20,155134.91927898407,114854.99275154842,142152.63817089557,107330.71628775971
2022-05-23,159306.92014492035,116885.1542858578,146721.89543026447,109338.86227623429
2022-05-24,158720.57209194184,116819.42721504939,146124.5722987032,108504.18728473075
2022-05-25,160573.33215129853,118002.33960568202,148333.47342937946,109462.80987342283
2022-05-26,160341.18042552948,118610.79405056727,148049.9998652315,111650.05526698437
2022-05-27,162621.99307430268,120331.6942027737,150060.21217602253,114390.94507429237
2022-05-31,163295.56534374238,119850.28935276759,150465.50083416462,113749.10206654931
2022-06-01,161266.36806667328,118920.78401219142,148515.63070171833,112829.05473433751
2022-06-02,162480.67382228852,119530.82670237316,149462.73570888996,114977.71601169057
2022-06-03,161771.62908733368,118753.08250273956,148708.8988940096,113090.73566575718
2022-06-06,161257.76093090058,119118.53999175323,148559.35654705524,113435.08672079134
2022-06-07,161302.49796092988,119528.81266822113,148127.21279781818,114523.1765173259
2022-06-08,159469.4735087204,118206.14728064789,146427.83005398273,113278.04803886372
2022-06-09,155487.17097652436,115597.7922791983,142423.42716091633,110583.9730352401
2022-06-10,153698.49398220063,113687.48314090027,140860.64200466633,107377.5310914441
2022-06-13,147544.35648906708,109491.96259021056,135156.8468539095,103300.59427512717
2022-06-14,149560.9079569626,109681.42426108611,136387.15304058552,102989.32544510388
2022-06-15,148842.59202754975,109960.71951617493,135683.95311611652,104457.56845823364
2022-06-16,144162.79403102875,106953.4701742102,131242.81576794147,101000.42278622858
2022-06-17,140091.34206569672,105996.52019633543,127181.89152019979,101218.16832562123
2022-06-21,144258.72746456147,108744.43779219878,130952.57227581502,103766.19071025605
2022-06-22,141937.17193782807,107707.52858771576,128879.24536770345,103578.07210188545
2022-06-23,136519.10183895112,106142.32499591124,123364.41692226888,104593.39695090684
2022-06-24,139478.1636637497,108521.35936684383,126273.81006496908,107918.83390384076
2022-06-27,143617.85997951508,110081.2996519543,130005.91369884969,107506.59961151864
2022-06-28,143861.00845516205,109519.58499512446,130526.45831554891,105309.94518663372
2022-06-29,141526.73785198212,108482.32935127986,128402.96620815755,105224.19187761385
2022-06-30,140777.41438472748,108191.89520539058,127178.59823482991,104369.29898641165
2022-07-01,141374.82038738253,109188.41513699306,127915.06666058065,105473.17681855666
2022-07-05,137081.57758571627,107039.47123974575,123770.07204311849,105672.36122741965
2022-07-06,137141.3336968613,107312.75442570461,123767.59204739095,106029.26651727984
2022-07-07,139019.01499034883,108460.02183216823,125727.35232800008,107617.2664761707
2022-07-08,139734.75187541964,108727.54576580776,126310.4629351473,107528.74893195977
2022-07-11,139363.2284722519,108455.25032215846,125945.36730450155,106300.39191893561
2022-07-12,137665.0613618088,107643.22333126796,124601.16607159139,105359.72799925719
2022-07-13,138467.37085582732,107692.74063912166,125641.90204494954,104806.41139545325
2022-07-14,134980.93014003756,106001.54701653255,121983.73317593099,104551.90684385652
2022-07-15,137715.17986156465,107181.29810753597,124616.94718807699,106549.38571960661
2022-07-18,137477.7863908005,106852.91225773586,124733.0297495699,105669.5969922286
2022-07-19,140960.02139141085,109161.84570116295,128111.82321041585,108524.70641518741
2022-07-20,139351.8719048691,109013.04920851006,127255.52496975423,109216.36767446666
2022-07-21,139000.09807064058,108558.78924409165,126657.29494350911,110328.52049272848
2022-07-22,138443.01879360198,107784.56873456253,126116.96587246419,109304.90293813394
