,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2023-01-09,144624.71805000305,142903.52196025848,141759.42488861084,139629.5663509369,130629.55426216125,126449.51688289642,108240.20209392569
2023-01-10,144951.79268455505,143211.40035152435,142312.540391922,140543.9380607605,131749.00969696045,127432.65442943573,108999.27695764757
2023-01-11,145864.17406272888,144121.747092247,143224.95909118652,141507.40178871155,132534.8930091858,128105.59230995178,110377.86825922038
2023-01-12,148387.44375038147,146634.52475261688,145406.92727279663,143513.0037097931,134316.06847190857,129579.28552341461,110779.73663397161
2023-01-13,148437.71710014343,146682.23212337494,145870.48988723755,143922.2283229828,134532.6640434265,129759.52080726624,111209.52200973347
2023-01-17,148108.18679237366,146358.72499370575,145595.25092315674,143578.31584739685,133955.44098091125,129237.9658651352,111005.78371863846
2023-01-18,146831.4735813141,145086.90719890594,144246.5817489624,142135.02480125427,132457.6950893402,127878.02454280853,109253.21446414286
2023-01-19,145336.93807029724,143601.7116613388,143376.87601661682,141220.7635307312,131597.34816741943,127121.54491329193,108457.86787648016
2023-01-20,146848.42030143738,145110.33870601654,144714.47200775146,142608.24040412903,132885.7186012268,128203.28000831604,110478.32870811265
2023-01-23,148511.52652931213,146759.22848796844,146063.91367721558,144162.1637058258,134122.28485107422,129050.1711807251,111803.94769961166
2023-01-24,147762.12487220764,146016.64740276337,145563.30508422852,143885.09946250916,134032.20712280273,129120.19681930542,111683.93383236634
2023-01-25,147122.46419334412,145376.86900234222,145036.26546478271,143840.84610939026,134133.01371192932,129352.03645038605,111725.7871845638
2023-01-26,149097.04509925842,147344.4692106247,147168.6240348816,145567.29545021057,135963.50140571594,130830.60731601715,112953.7011023893
2023-01-27,148900.1565990448,147147.48236751556,147218.42136192322,145476.95861053467,135749.72492027283,130533.9968547821,113213.23795659601
2023-01-30,146609.24285316467,144870.4365720749,145249.86596107483,143629.94569396973,134248.442527771,129220.23694896698,111792.76672364358
2023-01-31,149387.2431125641,147633.56563091278,148019.80039024353,146108.10088729858,136501.72560882568,131192.33009815216,113436.48536740713
2023-02-01,150253.5814189911,148493.88083553314,148877.20888519287,147161.91755104065,137525.75674247742,132170.64512729645,114642.07277220604
2023-02-02,147501.33598136902,145772.25752925873,146082.05205917358,144388.7830028534,135423.34752082825,130379.49213314056,116310.90874312453
2023-02-03,147284.73148155212,145555.0050497055,145477.21578979492,143389.95057106018,134539.42141914368,129639.59256267548,115074.63124264144
2023-02-06,147957.95662879944,146221.3132352829,145588.23181915283,143047.31561851501,134243.5427017212,129251.51634407043,114371.37266148602
2023-02-07,147192.12892723083,145457.53176784515,145078.34352493286,143217.96047019958,134350.16925811768,129376.36638832092,115867.18701617583
2023-02-08,146917.0524044037,145183.29688930511,144770.98309898376,142830.00913238525,133948.49113464355,128887.65184688568,114600.20170055381
2023-02-09,147461.250497818,145727.29094219208,145305.56489562988,143005.46835136414,133752.71453285217,128641.34854221344,113606.7073097801
2023-02-10,149099.34894371033,147366.66700649261,146326.2127532959,143715.70295906067,134481.07847213745,129083.97930526733,113871.84351169826
2023-02-13,148787.955827713,147045.5333967209,146619.82334136963,144409.26621818542,135268.8079109192,129789.0079536438,115208.5814610736
2023-02-14,147549.2072544098,145814.61075115204,145792.77459526062,143718.98998641968,134707.18342208862,129501.70585536957,115155.55599263545
2023-02-15,147791.74704933167,146053.88908672333,145549.13856697083,143807.53680419922,134891.03923416138,129836.87247943878,115529.52508583083
2023-02-16,146347.03447151184,144625.79960155487,144504.53265571594,142165.92533111572,133571.10665512085,128705.66384410858,113938.80533132324
2023-02-17,145900.8394985199,144172.0249929428,143993.87217330933,141605.16486930847,133122.4001979828,128177.12465381622,113654.17772914379
2023-02-21,144918.89044380188,143196.27331066132,142842.6476154327,140440.23764038086,131869.2067565918,127028.43766307831,111374.14460439501
2023-02-22,146012.18765068054,144289.77785396576,143783.62098884583,141054.43576431274,132280.98377609253,127409.27711772919,111220.66754679198
2023-02-23,147137.76608848572,145412.50390529633,144337.4079399109,141775.78545951843,132684.2734889984,127751.19752788544,111812.30242254183
2023-02-24,146080.75589179993,144368.02484416962,143392.77682685852,140751.67641448975,131757.60430335999,126929.75253868103,110617.88713398362
2023-02-27,146900.3793849945,145185.76179409027,144226.31014251706,141557.88681983948,132328.55633735657,127478.25738430023,110994.62932185254
2023-02-28,146623.39714622498,144912.32220363617,143705.4511642456,141213.93735694885,132202.3676929474,127283.37289524078,110584.38850471635
