Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
WMT,40.045456,38.4374,9.5014105,1.298793,22.876,0.23661,0.03259,0.0373,0.058,0.352,Consumer Defensive
ETN,32.483486,23.895838,6.6889973,4.743429,22.365,0.20653,0.14741,0.19791001,0.101,0.024,Industrials
TEL,37.597404,19.290821,5.4207144,3.952014,17.452,0.14618,0.106709994,0.19773,0.167,1.453,Technology
LII,22.419872,21.473547,17.378891,3.4841723,17.151,0.92253995,0.15741,0.21340999,-0.048,0.045,Industrials
DDOG,404.80643,53.679592,12.790745,13.701714,6609.582,0.03519,0.033239998,-0.00656,0.284,-0.337,Technology
ON,85.15068,21.310953,3.1870387,4.108378,13.834,0.03891,0.051570002,0.18505,-0.12,-0.326,Technology
IRM,165.16667,39.36219,-29.879398,3.9705164,20.254,,0.02398,0.20792,0.126,,Real Estate
RCL,20.962315,17.566217,8.401435,4.8718295,16.821,0.46677,0.23318,0.33139,0.052,0.363,Consumer Cyclical
IQV,33.34388,18.731575,6.7017775,2.595726,18.687,0.19374001,0.08067001,0.13976,0.052,0.245,Healthcare
CARR,35.15625,19.2173,3.2718709,2.1701891,16.061,0.0998,0.18052,0.09554,-0.068,0.005,Industrials
NXPI,29.845297,17.543463,6.0528097,5.0475245,17.356,0.20872,0.17111,0.28238,-0.024,-0.111,Technology
FDS,18.730917,15.498617,5.0585833,4.667383,13.227,0.28831,0.25399,0.32629,0.068,0.044,Financial Services
CTVA,27.793522,18.767498,1.8422112,2.66874,12.881,0.06705,0.09187999,-0.10313,0.126,,Basic Materials
CNC,,15.84151,1.0934129,0.13662724,5.475,-0.2186,-0.03155,0.0054699997,0.215,,Healthcare
LEN,14.943609,13.316331,1.3704534,0.8614778,9.327,0.08406,0.06079,0.078779995,-0.058,-0.525,Consumer Cyclical
PEP,26.59886,16.335543,9.879254,2.0737891,13.731,0.37162,0.078200005,0.16903,0.027,-0.108,Consumer Defensive
RL,27.312408,21.838055,8.69323,2.9621854,18.084,0.34005,0.112840004,0.14074999,0.165,0.437,Consumer Cyclical
JCI,42.148285,20.683477,5.2403913,3.0741918,20.48,0.11374,0.13947,0.15306,0.031,1.813,Industrials
FAST,39.233643,34.522175,12.37618,6.0261254,26.973,0.32742,0.15336001,0.20696,0.117,0.115,Industrials
CSCO,28.525097,16.518171,6.2068386,5.059395,19.508,0.22418,0.17902,0.23604,0.075,0.06,Technology
CPRT,24.435583,22.0966,4.0159307,8.282455,16.882,0.18124,0.34243,0.37289003,0.007,0.108,Industrials
GPN,12.066767,5.836891,0.8300452,1.9146252,7.598,0.07233,0.17365,0.3184,0.005,1.131,Industrials
SBAC,22.792454,20.554214,-3.9212291,6.922712,18.718,,0.30724,0.53851,0.097,-0.083,Real Estate
CHD,27.059937,22.90649,4.8769116,3.4028258,17.061,0.18594,0.12742,0.16057,0.05,,Consumer Defensive
AMP,13.964796,12.2069,7.3256097,2.5856063,,0.59589,0.19586,0.37298,0.073,0.866,Financial Services
MSCI,36.899044,30.031904,-22.804,14.715255,27.626,,0.40032002,0.56425,0.095,0.19,Financial Services
BA,,103.4238,-21.579866,2.274152,-34.4,,-0.12197,-0.204,0.304,,Industrials
CB,12.821145,11.675928,1.6837062,2.078824,11.376,0.1364,0.16442,0.25623,0.091,0.226,Financial Services
MOH,11.176108,13.240878,2.208674,0.22961812,3.249,0.19708,0.020610001,0.01249,0.116,-0.734,Healthcare
APO,21.287592,15.812995,3.8931012,3.1097193,,0.16549,0.15777001,0.29920998,0.264,1.153,Financial Services
LH,24.687256,14.375284,2.40318,1.5201565,13.688,0.10135999,0.062129997,0.11314999,0.086,0.56,Healthcare
D,18.947712,16.08429,1.8544699,3.1309614,13.375,0.09204,0.16790001,0.34504002,0.149,0.062,Utilities
